date,equity
2025-07-07,99307.21
2025-07-08,99307.21
2025-07-09,99307.21
2025-07-10,99307.21
2025-07-11,99307.21
2025-07-14,99307.21
2025-07-15,99307.21
2025-07-16,99307.21
2025-07-17,99307.21
2025-07-18,99307.21
2025-07-21,99307.21
2025-07-22,99307.21
2025-07-23,99307.21
2025-07-24,99307.21
2025-07-25,99307.21
2025-07-28,99307.21
2025-07-29,99307.21
2025-07-30,99307.21
2025-07-31,99307.21
2025-08-01,99307.21
2025-08-04,99334.55
2025-08-05,99345.51
2025-08-06,99345.51
2025-08-07,99345.51
2025-08-08,99345.51
2025-08-11,99345.51
2025-08-12,99345.51
2025-08-13,99345.51
2025-08-14,99345.51
2025-08-15,99345.51
2025-08-18,99345.51
2025-08-19,99345.51
2025-08-20,99345.51
2025-08-21,99345.51
2025-08-22,99345.51
2025-08-25,99345.51
2025-08-26,99345.51
2025-08-27,99345.51
2025-08-28,99345.51
2025-08-29,99345.51
2025-09-02,99345.51
2025-09-03,99345.51
2025-09-04,99345.51
2025-09-05,99345.51
2025-09-08,99345.51
2025-09-09,99345.51
2025-09-10,99345.51
2025-09-11,99345.51
2025-09-12,99345.51
2025-09-15,99345.51
2025-09-16,99345.51
2025-09-17,99345.51
2025-09-18,99345.51
2025-09-19,99345.51
2025-09-22,99345.51
2025-09-23,99345.51
2025-09-24,99345.51
2025-09-25,99345.51
2025-09-26,99345.51
2025-09-29,99345.51
2025-09-30,99345.51
2025-10-01,99345.51
2025-10-02,99345.51
2025-10-03,99345.51
2025-10-06,99345.51
2025-10-07,99345.51
2025-10-08,99345.51
2025-10-09,99345.51
2025-10-10,99345.51
2025-10-13,99353.42
2025-10-14,99331.1
2025-10-15,99331.1
2025-10-16,99331.1
2025-10-17,99355.4
2025-10-20,99370.11
2025-10-21,99370.11
2025-10-22,99370.11
2025-10-23,99370.11
2025-10-24,99370.11
2025-10-27,99370.11
2025-10-28,99370.11
2025-10-29,99370.11
2025-10-30,99370.11
2025-10-31,99370.11
2025-11-03,99370.11
2025-11-04,99370.11
2025-11-05,99370.11
2025-11-06,99370.11
2025-11-07,99370.11
2025-11-10,99370.11
2025-11-11,99370.11
2025-11-12,99370.11
2025-11-13,99370.11
2025-11-14,99370.11
2025-11-17,99370.11
2025-11-18,99376.35
2025-11-19,99374.83
2025-11-20,99374.83
2025-11-21,99374.83
2025-11-24,99374.83
2025-11-25,99374.83
2025-11-26,99374.83
2025-11-28,99374.83
2025-12-01,99374.83
2025-12-02,99374.83
2025-12-03,99374.83
2025-12-04,99374.83
2025-12-05,99374.83
2025-12-08,99374.83
2025-12-09,99374.83
2025-12-10,99374.83
2025-12-11,99374.83
2025-12-12,99374.83
2025-12-15,99374.83
2025-12-16,99374.83
2025-12-17,99374.83
2025-12-18,99374.83
2025-12-19,99374.83
2025-12-22,99374.83
2025-12-23,99374.83
2025-12-24,99374.83
2025-12-26,99374.83
2025-12-29,99374.83
2025-12-30,99374.83
2025-12-31,99374.83
2026-01-02,99374.83
2026-01-05,99374.83
2026-01-06,99374.83
2026-01-07,99374.83
2026-01-08,99374.83
2026-01-09,99374.83
2026-01-12,99374.83
2026-01-13,99374.83
2026-01-14,99381.53
2026-01-15,99385.47
2026-01-16,99385.47
2026-01-20,99385.47
2026-01-21,99391.37
2026-01-22,99406.55
2026-01-23,99406.55
2026-01-26,99406.55
2026-01-27,99406.55
2026-01-28,99406.55
2026-01-29,99406.55
2026-01-30,99406.55
2026-02-02,99406.55
2026-02-03,99406.55
2026-02-04,99406.55
2026-02-05,99406.55
2026-02-06,99406.55
2026-02-09,99406.55
2026-02-10,99406.55
2026-02-11,99406.55
2026-02-12,99406.55
2026-02-13,99413.7
2026-02-17,99427.59
2026-02-18,99427.59
2026-02-19,99427.59
2026-02-20,99427.59
2026-02-23,99427.59
2026-02-24,99477.31
2026-02-25,99500.39
2026-02-26,99500.39
2026-02-27,99500.39
2026-03-02,99500.39
